name,description,price,price_per_unit,category
BETTY CROCKER FRUIT GUSHERS,"Watermelon/Sour Apple, Tropical or Variety

6 Pk. 4.8 Oz. Box",6.00,,Grocery
OLD EL PASO TACO SEASONING MIX,"1 Oz. Env.
Chili, or Assorted Varieties",0.99,,Grocery
LYSOL AIR FRESHENER SPRAY 12.5 Oz. Can,"Crisp Linen Laundry Sanitizer (41 Oz. Btl.); Citrus Wipes (80 Ct, Cnstr.); Spring Waterfall, Disinfectant Breeze or Crisp Linen",6.99,,Household Needs
ANNIE'S CHEDDAR BUNNIES CRACKERS,Cheddar Squares; Bunny Grahams or 7-7.5 Oz. Box,3.99,,Bakery
CARNATION SWEETENED CONDENSED MILK,14 Oz. Can,2.99,,Grocery
GOYA PRISMA NECTAR,"Fruit Cocktail or Tamarind

33.8 Oz. Tetrapk.",2.69,,Snacks & Beverage
QUAKER GRITS,"Quick or Old Fashioned

24 Oz. Cnstr.",5.00,,Grocery
ORVILLE REDENBACHER'S MICROWAVE POPCORN,"or Pop Up Bowls
6 Pk. 3.29-3.5 Oz. Box",5.99,,Snacks & Beverage
SAN GIORGIO PASTA,"Assorted Varieties

12-16 Oz. Boxes",5.00,,Grocery
PEDIGREE DRY DOG FOOD,"Assorted Varieties
3.5 lb. Bag",7.49,,Pets
QUAKER OATS,"42 Oz. Cnstr.
Old Fashioned or Quick",5.99,,Grocery
CAROLINA JASMINE RICE,10 lb. Bag,14.99,,Grocery
BADIA WHOLE OREGANO,2.25 Oz. Jar,1.99,,Grocery
MAXWELL HOUSE INSTANT DECAF COFFEE,"or Sanka

8 Oz. Jar",11.99,,Grocery
OLD EL PASO MEXICAN RICE,"or Southwest

8.8 Oz. Pouch",2.69,,Grocery
PALMOLIVE Apple Pear or Original • DISH LIQUID 12.6 Oz. Btl. Btl,"Antibacterial Orange, Oxy Degreaser or Original • ULTRA DISH LIQUID 9.7 Oz..",4.00,,Household Needs
GRAVY TRAIN DOG FOOD,"Assorted Varieties
13.2 Oz. Can",4.00,,Pets
KRASDALE ORANGE JUICE,1 Gal. Btl.,7.99,,Dairy
COCA-COLA,"*Plus Deposit: Regular or Diet:
All Varieties: Fanta, Barq's,
Minute Maid, Seagram's,
Fresca, Dr. Pepper, Sprite, or
2 Ltr. Btls",5.00,,Snacks & Beverage
SARA LEE ARTESANO BREAD,"Brioche, Golden Wheat or Italian
20 Oz. Pkg.",3.99,,Bakery
"BREYERS S'MORES BARS 6 Pk. 18 Oz. Boxes, GOOD HUMOR ICE CREAM BARS 6 Pk. 16.2-18 Oz. Boxes",Assorted Varieties,5.49,,Frozen
CHLOE'S MINI SANDWICHES 6 Pk. 7.5 Oz. Boxes,"Vanilla or Chocolate
Spiderman Strawberry/Lemon or
Avengers Cherry/Grape
•ICE POPS
10 Pk. 15 Oz. Boxes",4.99,,Frozen
HERSHEY'S SYRUP,"Caramel, Strawberry, or Chocolate

22-24 Oz. Btl.",3.99,,Grocery
KRASDALE RED MARASCHINO CHERRIES,"With or Without Stems

10 Oz. Jar",2.99,,Grocery
KRASDALE HOT DOG ROLLS,"or Hamburger

8 Ct. Pkg.",1.99,,Bakery
SMARTWATER,"Alkaline + Antioxidant or Original

1 Ltr. Btls.",4.00,,Snacks & Beverage
HALO TOP ICE CREAM,"Assorted Varieties
1 Pt. Cntrs.",4.99,,Bakery
KLONDIKE ICE CREAM CONES,"Assorted Varieties

8 Pk. 30 Oz. Boxes",8.99,,Frozen
KRASDALE BROCCOLI FLORETS,24 Oz. Pkg.,6.00,,Produce
"IDAHO HASH BROWNS, POTATO PUFFS, OR FRENCH FRIES",24-28 Oz. Pkg.,4.99,,Grocery
PEPSI,"or Regular or Diet: All Varieties: Starry, Crush, Mug, Schweppes, Lipton Brisk, Country Time, Mountain Dew

12 Pk. 12 Oz. Cans",7.49,,Snacks & Beverage
JOY SUGAR ICE CREAM CONES 12 Ct. 5 Oz. Boxes,Jumbo Cups (2.75 Oz.); Oreo or Original,2.69,,Snacks & Beverage
COCA-COLA 6 Pk. 7.5 Oz. Mini Cans,"Regular or Zero Sprite, Fanta Orange, Regular or Diet Seagram's Ginger Ale or Dr. Pepper; Zero, Cherry, Caffeine Free Diet, Regular or Diet",9.00,,Bakery
LOTUS BISCOFF COOKIES ICE CREAM BARS,"White Chocolate or Chocolate

3 Pk. 9.13 Oz. Boxes",4.99,,Frozen
SUPERPRETZEL SOFT PRETZELS,"Stix, Bites, or 9-13 Oz. Boxes",3.99,,Snacks & Beverage
